code;bloc_code;texte_fr;guidance_fr;answer_type;options;allow_range;poids;scoring;criticality;expected_source;secteurs;services_cibles;niveaux;effectif_min;effectif_max;profils;geo
REC-YESNO-01;bloc_1;Une personne est-elle nommément responsable des sujets IA ?;Relancer sur le nom de la fonction, pas de la personne.;yes_no;;faux;2;{"map":{"oui":5,"non":0},"red_flag":{"values":["non"]}};bloquant;entretien;;;;;;dirigeant|dsi;tous
REC-YESNO-02;bloc_1;Des fichiers critiques sont-ils stockés hors du système de sauvegarde ?;Barème INVERSÉ : répondre « oui » est un mauvais signal.;yes_no;;faux;1;{"map":{"oui":0,"non":5}};important;entretien;;;;;;dsi;tous
REC-SCALE-03;bloc_2;Quel est le niveau de formalisation des processus métier ?;Ancres de cotation — 1 = aucun processus documenté · 3 = documenté mais non appliqué · 5 = documenté, appliqué et mesuré;scale_1_5;;faux;3;{"map":"identity","red_flag":{"below":2}};bloquant;entretien;;;;;;resp_metier|chef_equipe;tous
REC-SCALE-04;bloc_2;Quel est le niveau de maîtrise des outils numériques par les équipes ?;1 = aucune autonomie · 2 = autonomie assistée · 3 = autonomie sur les tâches courantes · 4 = autonomie complète · 5 = capacité à former les autres;scale_1_5;;faux;1;{"map":"identity"};important;observation;;;;;;salarie|technicien_operateur;tous
REC-UNIQ-05;bloc_3;Comment les demandes entrantes sont-elles réparties entre les équipes ?;Faire décrire le circuit réel, pas le circuit officiel.;single_choice;[{"code":"manuel","label":"Répartition manuelle","score":1},{"code":"regles","label":"Règles fixes outillées","score":3},{"code":"pilote","label":"Pilotage automatisé et mesuré","score":5}];faux;2;{"source":"options"};important;entretien;;service_client;;;;;tous
REC-MULTI-06;bloc_3;Quels canaux de contact sont ouverts aux clients ?;Cocher tout ce qui est réellement traité, pas ce qui est affiché.;multi_choice;[{"code":"telephone","label":"Téléphone","score":2},{"code":"email","label":"Courriel","score":3},{"code":"formulaire","label":"Formulaire en ligne","score":4},{"code":"messagerie","label":"Messagerie instantanée","score":5}];faux;1;{"source":"options","aggregate":"mean"};informatif;entretien;;service_client|commercial_ventes;;;;;tous
REC-NB-07;bloc_4;Combien de logiciels métier distincts sont utilisés au quotidien ?;Compter les outils réellement ouverts chaque semaine.;number;;vrai;1;{"bands":[{"max":3,"score":5},{"max":8,"score":3},{"score":1}]};important;releve;;dsi_data;;;;;tous
REC-PCT-08;bloc_4;Quelle part des tâches administratives est aujourd'hui automatisée ?;Demander un ordre de grandeur, accepter une fourchette.;percent;;vrai;2;{"bands":[{"max":10,"score":1},{"max":40,"score":3},{"score":5}]};important;entretien;;support_admin|finance_compta;;;;;tous
REC-DUR-09;bloc_5;Combien d'heures par semaine sont consacrées aux ressaisies manuelles ?;Heures par semaine et par personne concernée.;duration;;vrai;1;{"bands":[{"max":2,"score":5},{"max":6,"score":3},{"score":1}]};important;releve;;;;;;salarie;tous
REC-MONEY-10;bloc_5;Quel budget annuel est consacré aux licences logicielles ?;Donnée factuelle : hors scoring (poids 0), elle alimente le chiffrage.;money;;vrai;0;;informatif;document;;finance_compta;;;;;tous
REC-TEXTE-11;bloc_6;Quelle tâche répétitive aimeriez-vous voir disparaître en premier ?;Noter le verbatim : il alimente les cas d'usage.;free_text;;faux;0;;informatif;entretien;;;;;;salarie|technicien_operateur;tous
REC-DATE-12;bloc_6;À quelle date la dernière cartographie des processus a-t-elle été réalisée ?;Format libre, noter « jamais » le cas échéant.;date;;faux;0;;informatif;document;;;;;;resp_metier;tous
REC-TAB-13;bloc_7;Inventaire des outils numériques utilisés par le service.;Une ligne par outil : nom, usage, nombre d'utilisateurs.;table;;faux;0;;informatif;releve;;dsi_data;;;;;tous
REC-MULTI-14;bloc_8;Quels dispositifs de gouvernance existent aujourd'hui ?;Question de cadrage : hors scoring, elle sert au chapitre gouvernance.;multi_choice;[{"code":"comite","label":"Comité de pilotage"},{"code":"charte","label":"Charte d'usage"},{"code":"aucun","label":"Aucun dispositif"}];faux;0;;informatif;entretien;;direction_generale;;;;;tous
REC-UNIQ-15;bloc_9;Les contenus produits par un système d'IA sont-ils signalés comme tels ?;Transparence : obligation applicable aux déployeurs.;single_choice;[{"code":"non","label":"Aucun signalement","score":0},{"code":"partiel","label":"Signalement partiel","score":3},{"code":"systematique","label":"Signalement systématique","score":5}];faux;2;{"source":"options","red_flag":{"values":["non"]}};bloquant;document;commerce|industrie;juridique_conformite|marketing_contenu;operationnel|strategique_groupe;11;4999;dirigeant|autre;france
