code;bloc_code;texte_fr;answer_type;poids;criticality;TPE_coteur_A;TPE_coteur_B;TPE_ecart;GC_coteur_A;GC_coteur_B;GC_ecart;ancre_a_revoir
Q-B1-001;bloc_1;Quelle est la fonction qui porte les sujets IA, et quelles décisions a-t-elle tranchées seule au cours des 12 derniers mois ?;scale_1_5;3;bloquant;;;;;;;
Q-B1-002;bloc_1;Quelle instance décide des engagements IA, qui y siège et quand s'est-elle réunie sur les 12 derniers mois ?;table;0;informatif;;;;;;;
Q-B1-003;bloc_1;Sur les 12 derniers mois, quels arbitrages la direction générale a-t-elle rendus en faveur ou en défaveur d'un projet IA ?;scale_1_5;2;important;;;;;;;
Q-B1-004;bloc_1;À quelle date la politique IA en vigueur a-t-elle été approuvée, et par quelle fonction ?;date;0;informatif;;;;;;;
Q-B1-005;bloc_1;Quand la politique IA a-t-elle été revue pour la dernière fois, et qu'est-ce que cette revue a changé dans le texte ?;scale_1_5;2;important;;;;;;;
Q-B1-006;bloc_1;Comment la politique IA s'articule-t-elle avec la charte informatique, la politique de sécurité et les règles RH en vigueur ?;single_choice;2;important;;;;;;;
Q-B1-007;bloc_1;En quoi les usages IA déjà engagés servent-ils les objectifs que l'entreprise s'est fixés cette année ?;scale_1_5;2;important;;;;;;;
Q-B1-008;bloc_1;Quels objectifs chiffrés l'entreprise s'est-elle donnés sur l'IA, et qui en rend compte ?;scale_1_5;2;important;;;;;;;
Q-B1-009;bloc_1;Quelles ressources ont été effectivement engagées sur l'IA au cours du dernier exercice clos ?;single_choice;2;important;;;;;;;
Q-B1-010;bloc_1;Qu'est-ce que l'entreprise s'interdit de faire avec l'IA, et qu'est-ce qu'elle accepte de risquer ?;scale_1_5;2;important;;;;;;;
Q-B1-011;bloc_1;Qui a été consulté avant l'engagement des usages IA en cours, en dehors de l'équipe qui les porte ?;scale_1_5;1;important;;;;;;;
Q-B1-012;bloc_1;Quelles règles s'appliquent aujourd'hui à l'entreprise du fait de ses usages d'IA, et qui l'a établi ?;scale_1_5;2;important;;;;;;;
Q-B1-013;bloc_1;Pour chaque système d'IA utilisé ou mis sur le marché, quel rôle l'entreprise tient-elle au sens du règlement européen ?;table;0;informatif;;;;;;;
Q-B1-014;bloc_1;Que s'est-il passé la dernière fois qu'un collaborateur a signalé un problème causé par un outil IA ?;scale_1_5;2;important;;;;;;;
