code;TPE_note;TPE_fondement;GC_note;GC_fondement;ancre_a_revoir
Q-B1-001;2;Fonction identifiable de fait (la direction) mais aucun mandat écrit ni désignation documentée;5;Comité IA avec lettre de mission écrite et 2 décisions datées tranchées (25/09/2025 et 04/06/2026);Cas TPE non prévu - fonction identifiable sans document mais avec décisions - entre les ancres 1 et 3. Et un comité est-il une fonction
Q-B1-002;aucune instance - zéro réunion à relever;Aucune instance ne s'est jamais réunie;4 réunions convoquées entre 12/06/2025 et 04/06/2026;Convocations produites - comptes rendus pour 2 réunions sur 4 seulement;
Q-B1-003;5;Abandon daté de l'assistant de rédaction (nov 2025, moins de 12 mois) avec effet budgétaire vérifiable par factures;5;Arrêt tracé du 25/09/2025 et budget 380 keur du 04/06/2026 - arbitrages datés à effet vérifiable;L'ancre 5 n'exige aucun écrit - un abandon non tracé la satisfait par ses factures - voulu ?
Q-B1-004;date vide - aucune politique IA;Aucun document approuvé;15/09/2025;Approbation portée sur le document par le comité exécutif;
Q-B1-005;1;Aucune politique IA;1;Aucune revue depuis l'approbation du 15/09/2025 - la revue du 20/08/2025 lui est antérieure;GC note 1 avec une politique récente jamais revue - l'ancre 1 mélange absence de politique et absence de revue
Q-B1-006;NA;Ni politique IA ni charte informatique - rien à articuler (l'absence est cotée en B5-008);renvois;Renvois explicites mais charte du 03/02/2024 jamais mise à jour depuis la politique (plus de 24 mois);Absence totale de textes non prévue par les options (NA ou 0 ?) - et mise à jour croisée ambiguë quand la politique récente renvoie à une charte figée
Q-B1-007;1;Module de tri arrivé avec le logiciel - engagement d'opportunité sans lien à un objectif écrit;3;Aucun rattachement écrit usage-objectif - lien seulement reconstituable en entretien;
Q-B1-008;3;Objectif chiffré écrit (5 jours au lieu de 12, voeux du 09/01/2026) mais sans responsable ni point d'avancement;1;Aucun objectif IA chiffré au dossier - le budget suivi n'est pas un objectif;La consigne dit qu'un objectif sans responsable ne compte pas mais l'ancre 3 le décrit mot pour mot - contradiction interne
Q-B1-009;temps_informel;Abonnements réels payés (tri, assistant abandonné) mais aucune ligne budgétaire sur l'exercice clos 2025;NC;Le budget 380 keur date de l'exercice en cours - rien au dossier sur l'exercice clos;Dépense réelle sans ligne budgétaire - aucune option ne la couvre - et le budget GC voté en 2026 échappe au critère de l'exercice clos
Q-B1-010;3;Limite énoncée à l'oral (pas de données candidats dans un outil gratuit) - aucun écrit ni cas opposé;4;Interdits écrits (appétence du 30/11/2025) et un refus daté du 25/09/2025 mais antérieur au document;TPE - la limite orale est violée en pratique (CV collés) - non prévu. GC - un refus antérieur à l'écrit est-il opposé -à ce titre-
