code;bloc_code;texte_fr;guidance_fr;answer_type;options;allow_range;poids;scoring;criticality;expected_source;secteurs;services_cibles;niveaux;effectif_min;effectif_max;profils;geo
Q-B4-001;bloc_4;Pour le dernier outil d'IA mis en service, ce qu'il devait faire avait-il été écrit avant de le construire ou de l'acheter ?;Demander à VOIR le document ET sa date. Le discriminant est l'antériorité datée par rapport à la mise en service, jamais l'existence d'une note. 1 = rien d'écrit, le besoin s'est précisé en cours de route · 3 = un besoin écrit existe mais sans critère mesurable, ou postérieur à la mise en service · 5 = spécification écrite et datée AVANT la mise en service, portant au moins un critère d'acceptation chiffré, retrouvée séance tenante — Source : ISO 42001 A.6.2.2 · NIST AI RMF MAP 1.6;scale_1_5;;faux;2;{"map":"identity"};important;document;;;;;;dsi|resp_metier;tous
Q-B4-002;bloc_4;Avant la mise en service du dernier système d'IA, quels essais ont été passés et sur quels critères d'acceptation ?;Faire produire le compte rendu d'essai pendant l'entretien. Un essai raconté sans trace vaut 1. L'exigence AI Act art. 9 n'est exigible pour les systèmes à haut risque de l'annexe III qu'au 02/12/2027 — aujourd'hui c'est un point de feuille de route, pas un manquement. 1 = mise en service sans essai formalisé · 3 = essais réalisés mais critères d'acceptation non écrits et aucun compte rendu retrouvable · 5 = critères d'acceptation écrits AVANT les essais et compte rendu daté produit séance tenante — Source : ISO 42001 A.6.2.4 · AI Act art. 9;scale_1_5;;faux;2;{"map":"identity"};important;demonstration;;;;;;dsi|technicien_operateur;tous
Q-B4-003;bloc_4;Quels outils, cadres et plateformes d'IA sont aujourd'hui en service dans l'organisation ?;Relevé, non coté. Une ligne par outil avec les colonnes : nom de l'outil, éditeur, version en service, hébergement (interne · SaaS UE · SaaS hors UE), usage métier desservi, données personnelles traitées (oui/non), criticité pour l'activité, échéance du contrat, propriétaire interne nommé. Inclure les outils arrivés sans passer par la DSI — c'est là que se logent les surprises. Ce qui se cote est déduit ailleurs, pas ici — Source : ISO 42001 A.4.4;table;;faux;0;;informatif;releve;;;;;;dsi|resp_metier;tous
Q-B4-004;bloc_4;Quelle version de chaque système d'IA tourne aujourd'hui, depuis quand, et qu'est-ce qui a changé ?;Relevé, non coté. Une ligne par système avec les colonnes : système, version en service, date de mise en service de cette version, nature du dernier changement, personne qui l'a validée, version précédente encore disponible (oui/non). Si personne ne sait dire quelle version tourne, laisser la cellule vide plutôt que d'inscrire une supposition — Source : ISO 42001 cl. 6.3 · ISO 42001 A.6.2.5 · NIST AI RMF MANAGE 4.2;table;;faux;0;;informatif;releve;;;;;;dsi|technicien_operateur;tous
Q-B4-005;bloc_4;À quelle date le moyen d'arrêter le système d'IA a-t-il été actionné pour de vrai la dernière fois ?;Relevé, non coté. Faire montrer le moyen d'arrêt et la trace de son dernier déclenchement réel — essai délibéré ou incident. Un mécanisme jamais actionné se saisit comme une date vide et se signale au rapport : un arrêt jamais essayé n'est pas un arrêt. Noter aussi, dans les notes de session, qui détient le droit de le déclencher. Criticité importante malgré le poids nul, à dessein : ce relevé ne compte pas au score mais doit remonter en évidence au rapport — Source : NIST AI RMF MANAGE 2.4 · NIST AI RMF GOVERN 1.7;date;;faux;0;;important;demonstration;;;;;;dsi|technicien_operateur;tous
Q-B4-006;bloc_4;Face à une sortie du système contestée par un client ou par un salarié, que sait-on dire aujourd'hui sur les raisons de cette sortie ?;Chercher un cas réel de contestation, pas une capacité théorique. Les obligations AI Act art. 13 et art. 86 ne deviennent exigibles pour le haut risque de l'annexe III qu'au 02/12/2027 : aujourd'hui, bonne pratique. 1 = rien, la sortie est prise telle quelle · 3 = on sait citer les données d'entrée mais aucune explication n'a jamais été produite pour un cas réel · 5 = une explication a été rédigée et remise pour au moins un cas réellement contesté dans les 12 derniers mois — Source : NIST AI RMF MEASURE 2.9 · AI Act art. 13 · AI Act art. 86;scale_1_5;;faux;2;{"map":"identity"};important;demonstration;;;;;;dsi|resp_metier;tous
Q-B4-007;bloc_4;Comment un incident causé par un outil d'IA est-il aujourd'hui signalé, enregistré et clos ?;Demander à ouvrir l'outil de tickets devant soi et à filtrer sur les incidents IA. Zéro incident enregistré n'est pas un bon signal : c'est le plus souvent le signe qu'aucun n'est reconnu comme tel. 1 = aucun circuit, l'incident se règle entre les personnes concernées · 3 = le circuit incident général existe mais aucun incident IA n'y a jamais été enregistré · 5 = au moins un incident lié à l'IA a été enregistré, tracé et clos dans ce circuit au cours des 12 derniers mois — Source : ISO 42001 A.8.4 · NIST AI RMF MANAGE 4.3;scale_1_5;;faux;2;{"map":"identity"};important;demonstration;;;;;;dsi|resp_metier;tous
Q-B4-008;bloc_4;Si une violation de données personnelles était constatée demain matin, qui la notifierait, à qui, et dans quel délai ?;Poser la question à froid et écouter le silence. Le délai de 72 heures doit être cité spontanément. Le discriminant est l'exercice ou la notification réellement menés, jamais la procédure au mur. 1 = personne ne sait dire qui notifie ni sous quel délai · 3 = délai et responsable connus mais le circuit n'a jamais été écrit ni éprouvé · 5 = circuit écrit, responsable nommé, et une notification réelle ou un exercice mené dans les 24 derniers mois — Source : RGPD art. 33 · RGPD art. 34;scale_1_5;;faux;3;{"map":"identity","red_flag":{"below":2}};bloquant;entretien;;;;;;dirigeant|dsi;tous
Q-B4-009;bloc_4;Que fait le service si l'outil d'IA devient indisponible une journée entière ?;Faire raconter la dernière indisponibilité réelle avant de parler du plan. Un mode dégradé décrit mais jamais pratiqué ne tient pas le jour venu. 1 = aucune solution de repli, l'activité s'arrête · 3 = un mode dégradé est décrit sur le papier mais n'a jamais été essayé, ou a été pratiqué avec succès mais n'est écrit nulle part · 5 = le mode dégradé a été réellement pratiqué au moins une fois dans les 12 derniers mois, panne subie ou exercice, et sa durée tenable est connue — Source : NIST AI RMF GOVERN 6.2;scale_1_5;;faux;2;{"map":"identity"};important;entretien;;;;;;dsi|resp_metier;tous
Q-B4-010;bloc_4;Qui a accès aux modèles, aux données d'entraînement et aux interfaces de programmation, et quand cette liste a-t-elle été revue pour la dernière fois ?;Faire afficher la liste des comptes à l'écran, pas la décrire. Chercher les comptes de personnes parties : c'est le test le plus rapide. Le discriminant est la revue datée ET son effet constaté. 1 = accès partagés ou inconnus, aucune liste · 3 = droits nominatifs mais aucune revue depuis plus de 12 mois · 5 = droits nominatifs, revue datée de moins de 12 mois, et au moins un retrait d'accès effectivement constaté à la suite de cette revue — Source : RGPD art. 32;scale_1_5;;faux;3;{"map":"identity","red_flag":{"below":2}};bloquant;demonstration;;;;;;dsi|technicien_operateur;tous
