code;TPE_note;TPE_fondement;GC_note;GC_fondement;ancre_a_revoir
Q-B1-001;2;Fonction identifiable (direction) et une décision réelle (abandon 11/2025) mais aucun document ne la désigne — entre ancres 1 et 3;5;Mandat écrit (lettre de mission 11/03/2025) et 2 décisions datées <12 mois (25/09/2025 et 04/06/2026);TPE: l'ancre 3 exige un document — le cas «fonction claire sans écrit mais avec décision» n'est pas prévu. GC: une instance collégiale vaut-elle une «fonction» ?
Q-B1-002;Aucune instance — zéro réunion à relever;relevé poids 0;4 réunions convoquées (12/06/2025 au 04/06/2026) dont 2 avec compte rendu et 1 annulée le 26/03/2026;relevé poids 0;
Q-B1-003;5;Projet arrêté 11/2025 (<12 mois) avec effet vérifiable — abonnement stoppé et factures retrouvées en séance;5;Budget de 380 k€ validé le 04/06/2026 dont 120 k€ consommés — arbitrage daté à effet budgétaire;TPE: arbitrage réel mais jamais écrit — l'ancre 5 dit «daté» sans exiger l'écrit et un 5 ici met TPE au niveau de GC. GC: le comité IA vaut-il «direction générale» ?
Q-B1-004;Aucune politique IA — date vide;relevé poids 0;15/09/2025 approuvée par le comité exécutif (signature portée sur le document);relevé poids 0;
Q-B1-005;1;Aucune politique IA — ancre 1;1;Aucune revue depuis l'approbation du 15/09/2025 (celle du 20/08/2025 portait sur le projet de texte) — ancre 1;GC: une politique de moins d'un an sans revue tombe à 1 comme une politique jamais revue depuis 5 ans — l'ancre ne module pas selon l'âge du texte. Et la revue pré-approbation n'est pas prévue.
Q-B1-006;NA;Aucune politique IA ni charte informatique — rien à articuler et le manque est déjà coté en B1-005;renvois;Renvois explicites mais la charte (03/02/2024) n'a jamais été mise à jour depuis la politique IA;TPE: aucune option ne couvre l'absence totale de textes — NA faute de mieux. GC: la création de la politique (15/09/2025 donc <24 mois) vaut-elle «mise à jour croisée» (→5) ?
Q-B1-007;2;Module de tri engagé 03/2025 sans aucun objectif écrit préalable — entre opportunité (1) et lien reconstituable (3);3;Usages engagés sous gouvernance mais aucun rattachement écrit à un objectif d'entreprise au dossier;Les deux dossiers sont quasi muets sur le rattachement usages-objectifs — coté par défaut des deux côtés, l'ancre discrimine mal ce silence.
Q-B1-008;3;Objectif chiffré écrit (5 jours au lieu de 12 — vœux du 09/01/2026) sans responsable ni point d'avancement — ancre 3;1;Aucun objectif chiffré IA au dossier (un budget de conformité n'est pas un objectif) — ancre 1;TPE: un objectif métier servi par l'IA est-il un objectif «sur l'IA» ? GC: dossier muet — hésité entre 1 et NC.
Q-B1-009;temps_informel;Abonnements payés sur l'exercice 2025 mais aucune ligne budgétaire — option la plus proche;NC;Le dossier ne montre rien sur l'exercice clos 2025 — le budget de 380 k€ est de 2026;TPE: des dépenses réelles sans ligne budgétaire ne correspondent à aucune option. GC: l'option vise l'exercice clos et le dossier n'en parle pas.
Q-B1-010;3;Limite énoncée à l'oral (jamais d'outil gratuit) et aucun cas d'application — ancre 3 mot pour mot;4;Interdits écrits (30/11/2025) et un cas cité (25/09/2025) mais antérieur à l'écrit et au bord des 12 mois;TPE: la limite orale est violée en pratique (CV dans un outil gratuit) — l'ancre 3 ne prévoit pas la violation. GC: le refus précède l'écrit des limites et l'interdit de décision automatisée est violé par la présélection.
Q-B1-011;1;Personne consulté hors de l'équipe — pas de représentants du personnel et prestataire hors sujet IA;4;DPO consulté avant mise en service (AIPD du 09/01/2026 avec 2 mesures appliquées) et CSE informé le 17/12/2025 mais après la décision;GC: l'AIPD du DPO vaut-elle «consultation ayant modifié le périmètre» (→5) alors que la mesure clé n'est pas appliquée ?
Q-B1-012;1;AI Act inconnu et renvoi au fournisseur («l'éditeur nous l'aurait dit») — ancre 1;4;Écrit <18 mois (classements d'avril 2026 par la direction juridique) mais ne couvrant que 11 systèmes sur 23;GC: l'écrit satisfait l'ancre 5 mais partiellement — l'ancre ne dit pas quelle couverture des systèmes suffit.
Q-B1-013;2 systèmes — tri (déployeur) et assistant du site sous le nom de l'entreprise (bascule fournisseur possible);relevé poids 0;23 systèmes — 19 rôles écrits, assistant doc affiné sous marque et chatbot public sous marque à qualifier;relevé poids 0;
Q-B1-014;2;Signalement de 02/2026 resté sans suite ni réponse — ni ancre 1 (pas de reproche) ni ancre 3 (rien ne se règle);4;3 tickets IA tracés dont 2 clos <12 mois mais retour à l'auteur non démontré;TPE: le signalement resté totalement sans suite ne colle à aucune ancre. GC: le «retour à l'auteur» de l'ancre 5 est invérifiable au dossier.
Q-B1-015;1;Aucune alternative examinée — l'IA était le point de départ;1;Aucune comparaison d'options sans IA au dossier;GC: dossier muet — tranché 1 plutôt que NC car rien n'indique le moindre examen.
Q-B2-001;Relevable en séance — tri et présentation de candidats, sourcing, administration, aucune cartographie;relevé poids 0;Planification des interventions, maintenance, recrutement, réponse aux devis — relevé partiel (4 agences sur 134);relevé poids 0;
Q-B2-002;1;Aucune procédure écrite — ancre 1;3;La note du 11/04/2026 existe mais les contournements courants (assistants sur téléphone) ne sont écrits nulle part — ancre 3;
Q-B2-003;Délai de présentation 12 jours (vœux 09/01/2026) — volumes et coûts non chiffrés;relevé poids 0;1 100 techniciens sur la planification — volumes et coûts non chiffrés au dossier;relevé poids 0;
Q-B2-004;1;Validation qui n'a jamais rien refusé — aucune candidature sous 50 ouverte et aucun cas citable;4;7 modifications montrées à l'écran le 01/09/2026 (<12 mois) mais motifs non conservés;GC: l'ancre 5 exige le motif conservé — des écarts quotidiens tracés sans motif ne sont prévus par aucune ancre.
Q-B2-005;1;Ressaisies non comptées — copier-coller de CV, mails et tableur en panne;2;Ruptures perçues (remontée du chef d'agence sans trace) mais aucune liste;GC: dossier indirect — entre 1 et 3, coté 2.
Q-B2-006;usages_non_encadres;Usages grand public connus en partie (annonces) et rien ne les encadre — DRAPEAU ROUGE;regles_sans_verification;Note du 11/04/2026 et filtrage réseau mais aucun recensement jamais conduit (nomades et téléphones exclus);TPE: entre non_examine et usages_non_encadres — la direction ne savait que pour une partie des usages.
Q-B2-007;Tri de candidatures — effet direct sur les candidats (ordre d'examen et non-présentation de fait);relevé poids 0;Présélection RH (rejet automatique sous 35) et planification (affectation de 1 100 techniciens);relevé poids 0;
Q-B2-008;3;On retrouve qui a ouvert et quand mais pas le score de l'époque — ancre 3;5;Remontée faite devant l'auditeur en 22 minutes (affectation du 02/06/2026) avec les paramètres d'entrée;
Q-B2-009;3;Une valeur écrite et datée (12 jours au 09/01/2026) mais unique et jamais relevée à échéance — la borne des 6 mois est dépassée;NC;Aucun indicateur de performance des processus avant IA au dossier;TPE: valeur écrite <12 mois mais relevé unique — les ancres croisent fraîcheur et récurrence sans prévoir ce cas.
